status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
checking account between 0 and 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown or no savings account,employed between 4 and 7 years,1,"female divorced, separated, or married",none,2,car or other property,24,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,36,delay in paying off in the past,education,6887,savings below 100 DM,employed between 1 and 4 years,4,male single,none,3,building society savings agreement or life insurance,29,stores,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,15,existing credits paid back duly till now,furniture or equipment,2708,savings below 100 DM,employed less than 1 year,2,male single,none,3,building society savings agreement or life insurance,27,bank,own,2,unskilled resident,1,no telephone,yes,good credit
no checking account,18,existing credits paid back duly till now,furniture or equipment,1984,savings below 100 DM,employed between 1 and 4 years,4,male single,none,4,unknown or no property,47,bank,for free,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,60,existing credits paid back duly till now,radio or television,10144,savings between 100 and 500 DM,employed between 4 and 7 years,2,"female divorced, separated, or married",none,4,real estate,21,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,radio or television,1240,unknown or no savings account,employed 7 years or more,4,"female divorced, separated, or married",none,2,real estate,38,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,27,delay in paying off in the past,car (used),8613,savings above 1000 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,27,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,766,savings between 500 and 1000 DM,employed between 1 and 4 years,4,male single,none,3,real estate,66,none,own,1,unskilled resident,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,15,critical account or other credits existing,radio or television,2728,unknown or no savings account,employed between 4 and 7 years,4,male single,guarantor,2,real estate,35,bank,own,3,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,12,existing credits paid back duly till now,radio or television,1881,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,2,car or other property,44,none,rent,1,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,6,existing credits paid back duly till now,car (new),709,savings above 1000 DM,employed less than 1 year,2,male married or widowed,none,2,real estate,27,none,own,1,unemployed or unskilled non-resident,1,no telephone,no,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,radio or television,4795,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,1,unknown or no property,30,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,27,existing credits paid back duly till now,radio or television,3416,savings below 100 DM,employed between 1 and 4 years,3,male single,none,2,car or other property,27,none,own,1,"management, self-employed, or highly qualified",1,no telephone,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,furniture or equipment,2462,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,22,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,21,critical account or other credits existing,furniture or equipment,2288,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,23,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,48,all credits at this bank paid back duly,business,3566,savings between 100 and 500 DM,employed between 4 and 7 years,4,male single,none,2,car or other property,30,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,6,critical account or other credits existing,car (new),860,savings below 100 DM,employed 7 years or more,1,"female divorced, separated, or married",none,4,unknown or no property,39,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,car (new),682,savings between 100 and 500 DM,employed between 4 and 7 years,4,"female divorced, separated, or married",none,3,car or other property,51,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,36,critical account or other credits existing,furniture or equipment,5371,savings below 100 DM,employed between 1 and 4 years,3,male single,guarantor,2,building society savings agreement or life insurance,28,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,critical account or other credits existing,radio or television,1582,savings above 1000 DM,employed 7 years or more,4,male single,none,4,car or other property,46,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,6,existing credits paid back duly till now,radio or television,1346,savings between 100 and 500 DM,employed 7 years or more,2,male single,none,4,unknown or no property,42,bank,for free,1,skilled employee or official,2,telephone registered under customer name,yes,good credit
no checking account,10,existing credits paid back duly till now,radio or television,1924,savings below 100 DM,employed between 1 and 4 years,1,male single,none,4,building society savings agreement or life insurance,38,none,own,1,skilled employee or official,1,telephone registered under customer name,no,good credit
